prospect_id,priority,category,prospect,recipient,address,evidence_url,target_asset,qualification,personalization,status,approval_required,sent_at
txtr-011,2,texas_transportation_reporting,Austin Monitor,Editorial team,https://www.austinmonitor.com/contact-us/,https://www.austinmonitor.com/stories/category/transportation/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Local civic newsroom tracks Austin transportation governance and public authorities.","Offer the TxDOT-versus-CTRMA-versus-SH 130 operator lookup.",research_ready,yes,
txtr-012,2,texas_transportation_reporting,Axios Transportation,Joann Muller,https://www.axios.com/local/dallas/authors/jmuller,https://www.axios.com/local/dallas/authors/jmuller,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"National transportation correspondent with current mobility and infrastructure coverage.","Pitch the counterintuitive ownership stack as a compact data-backed smart-brevity item.",research_ready,yes,
txtr-013,1,transport_trade_editorial,FHWA Public Roads,TaMara McCrae / editorial board,PublicRoads@dot.gov,https://highways.dot.gov/public-roads-magazine,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"FHWA magazine explicitly accepts story proposals on highway operations and infrastructure and applies technical review.","Offer a short data-note proposal on distinguishing public title, concession rights, operators, and billing.",draft_ready,yes,
txtr-014,1,transport_trade_editorial,Transportation Today,Story ideas desk,leads@transportationtodaynews.com,https://transportationtodaynews.com/about/transportation-today/,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"Editorial publication covers federal and state transportation agencies, roadways, and infrastructure policy.","Offer the current four-concession inventory and former SH 288 comparison.",draft_ready,yes,
txtr-015,1,transport_trade_editorial,Roads & Bridges,Gavin Jenkins / editorial team,https://www.roadsbridges.com/contact-us,https://www.roadsbridges.com/contact-us,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Trade publication serves road engineers, contractors, and government officials and accepts story ideas through its editorial contact path.","Lead with the operator/billing distinction and the public-title contract model.",draft_ready,yes,
txtr-016,1,transport_trade_editorial,Engineering News-Record,Aileen Cho / infrastructure desk,enr@enr.com,https://www.enr.com/contactus,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"ENR's infrastructure desk covers transportation delivery, public-private contracts, and major project finance.","Lead with the SH 288 termination and the DFW concession comparison.",draft_ready,yes,
txtr-017,1,transport_trade_editorial,Transport Topics,Editorial desk,tteditor@ttnews.com,https://www.ttnews.com/transport-topics-staff,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Freight and trucking publication covers road pricing, corridors, and transportation policy.","Lead with SH 130 truck-corridor economics and the facility-specific billing field.",draft_ready,yes,
txtr-018,2,transport_trade_editorial,Mass Transit,Megan Perrero / editorial team,https://www.masstransitmag.com/contact-us,https://www.masstransitmag.com/contact-us,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Integrated-mobility trade publication publishes agency and infrastructure research.","Offer the public-authority governance rows as background rather than a guest-post request.",research_ready,yes,
txtr-019,1,infrastructure_finance_editorial,P3 Bulletin,Paul Jarvis,paul.jarvis@haymarket.com,https://www.partnershipsbulletin.com/contactus,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"P3 editorial desk directly covers public-private partnership transactions and operating concessions.","Lead with current concessionaires, terms, revenue rights, and the SH 288 public reversion.",draft_ready,yes,
txtr-020,1,infrastructure_finance_editorial,Infrastructure Investor,Transport editorial team,https://www.infrastructureinvestor.com/suggest-a-story/,https://www.infrastructureinvestor.com/contact-us/,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"Infrastructure investment publication has a transport sector and an explicit story-suggestion form.","Offer the source-led DFW cap table, debt context, finite concession terms, and evidence gaps.",draft_ready,yes,
txtr-021,2,transport_policy_editorial,Eno Transportation Weekly,Jeff Davis,https://enotrans.org/contact/,https://enotrans.org/subscribe/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Nonpartisan transportation policy publication focuses on funding, governance, agencies, and states.","Frame the asset as a Texas governance and concession-reference dataset.",research_ready,yes,
txtr-022,2,toll_industry_resource,International Bridge Tunnel and Turnpike Association,Tollways editorial team,https://www.ibtta.org/contact-us,https://www.ibtta.org/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Industry association represents toll operators and publishes tolling resources.","Ask for factual review and resource consideration; do not imply association endorsement.",research_ready,yes,
txtr-023,1,academic_transport_resource,Texas A&M Transportation Institute,Jack Wenzel / TTI Communications,https://tti.tamu.edu/contact/,https://tti.tamu.edu/contact/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Major Texas transportation research institute publishes reports, research summaries, and public-facing resources.","Request source review and consideration as a public explainer resource, with non-peer-reviewed status explicit.",draft_ready,yes,
txtr-024,2,academic_transport_resource,TTI Planning and Engagement Program,Billy Hwang,W-Hwang@tti.tamu.edu,https://pep.tti.tamu.edu/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Program explicitly researches transportation planning, policy, law, public engagement, and communication.","Offer the ownership fields as a public-communication artifact and invite corrections.",research_ready,yes,
txtr-025,2,academic_transport_resource,UT Austin Center for Transportation Research,Caitlan Zilligen / technical editor,cmccollum@austin.utexas.edu,https://ctr.utexas.edu/staff-and-technical-support,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"University transportation center has a technical writer/editor and a long TxDOT research relationship.","Ask whether the matrix is suitable for a student/public resources page after source review.",research_ready,yes,
txtr-026,2,academic_transport_resource,UT Austin Center for Transportation Research,Geoffrey Potter / webmaster,geoffrey.potter@austin.utexas.edu,https://ctr.utexas.edu/staff-and-technical-support,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"CTR maintains public transportation research and educational web resources.","Use only for a resource-page fit inquiry after editorial review; avoid duplicate outreach with txtr-025.",research_ready,yes,
txtr-027,2,government_adjacent_resource,Texas State Library and Archives Commission,Reference staff,https://www.tsl.texas.gov/arc/contact,https://www.tsl.texas.gov/arc/findingaids/recordsfindingaids.html,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"State archive maintains highway and public-transportation records and a public reference service.","Ask for relevant official collections or corrections first; pursue a link only if the asset fits an existing guide.",research_ready,yes,
txtr-028,2,academic_transport_resource,Transportation Research Board,TRR editorial office,trr@nas.edu,https://trb.secure-platform.com/a/page/trrjournal/contactus,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"TRB publication office is authoritative but formal-journal standards make this a research-fit inquiry rather than ordinary outreach.","Do not pitch the blog as peer-reviewed; ask whether a data note or relevant committee resource route exists.",research_only,yes,
txtr-029,2,academic_transport_resource,Center for Transportation Equity Decisions and Dollars,Resource team,https://ctedd.uta.edu/contact/,https://ctedd.uta.edu/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"University transportation center focuses on policy, finance, and equity dimensions of transportation decisions.","Verify the current contact route before sending; lead with ownership, billing, and revenue-right transparency.",research_only,yes,
txtr-030,2,government_adjacent_resource,FHWA Research Library,Reference librarian,fhwalibrary@dot.gov,https://highways.dot.gov/public-roads-magazine,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Federal highway research library supports discovery of transportation publications and source records.","Ask for source-gap guidance and catalog/resource fit; do not request an endorsement.",research_ready,yes,
