status,priority,segment,prospect_name,prospect_url,target_page,asset,angle,next_action,outcome,notes
won,2,owned-profile,laughing-octo-carnival repository,https://github.com/SulaymanB2024/laughing-octo-carnival,https://sulayman-bowles.dev/,Canonical portfolio site and research hub,Point legacy Gotham OS portfolio masterplan to current canonical site,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to canonical site and research assets,Verified via GitHub API and raw README at 2026-06-26T16:40:25Z
owned,1,owned-profile,LinkedIn profile,https://www.linkedin.com/in/sulayman-bowles/,https://sulayman-bowles.dev/resume,Resume and source graph,Use the current identity line and link to resume/source graph,Update profile manually,,Requires LinkedIn account access
won,2,owned-profile,Void Agency site,https://www.void-agency.com/,https://sulayman-bowles.dev/method,Void Agency method,Add reciprocal source context if editorially appropriate,Monitor live footer and llms source links,Verified footer Method source link and llms source references,Live verified at 2026-06-25T21:46:55Z
research,1,existing-mention,UT Austin Student Government,https://studentgovernment.utexas.edu/legislative-branch,https://sulayman-bowles.dev/ai-information,AI information source graph,Current source link for identity reconciliation,Confirm mention and contact owner,,Do not expose private contact details in outreach notes
research,1,academic,McCombs School of Business,https://www.mccombs.utexas.edu/,https://sulayman-bowles.dev/resume,Resume,Legitimate profile or venture/student-source link if available,Find relevant program/profile owner,,Do not request generic homepage link
research,1,academic,Texas Venture Labs,https://www.mccombs.utexas.edu/centers-and-initiatives/texas-venture-labs/,https://sulayman-bowles.dev/atlas,Atlas project,Founder/project profile link if a real participation page exists,Verify eligibility and contact path,,Only use if public affiliation is accurate
research,2,academic,Longhorn Startup,https://www.longhornstartup.com/,https://sulayman-bowles.dev/atlas,Atlas project,Student builder/project profile if relevant,Verify participation and submission rules,,Avoid unrelated submission
research,2,academic,Texas Innovation Center,https://texasinnovationcenter.utexas.edu/,https://sulayman-bowles.dev/atlas,Atlas project,Builder/startup profile if relevant,Research program fit,,Only if accurate
research,2,academic,UT Entrepreneurship and Innovation,https://entrepreneurship.utexas.edu/,https://sulayman-bowles.dev/atlas,Atlas project,Student founder/resource profile if eligible,Research directory opportunities,,Only if accurate
research,2,existing-mention,Golden Hornet Young Composers Concert,https://www.goldenhornet.org/calendar/young-composers-concert-2022,https://sulayman-bowles.dev/ai-information,Identity reconciliation,Historical bio update or source link if appropriate,Check page and contact policy,,Do not force current SEO positioning into old music context
research,2,existing-mention,UT Butler University Orchestra,https://music.utexas.edu/events/4645-university-orchestra,https://sulayman-bowles.dev/ai-information,Identity reconciliation,Historical source context if profile update is possible,Check page and contact policy,,Likely archival; only request if normal updates exist
research,1,technical-seo,Search Engine Land,https://searchengineland.com/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,Source-backed AI crawler policy pitch,Find contributor/editor contact,,Pitch only if article/resource fit is clear
research,1,technical-seo,Search Engine Journal,https://www.searchenginejournal.com/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,AI search crawler policy and technical SEO source clarity,Find contributor/editor contact,,No paid links
research,1,technical-seo,SEOFOMO,https://seofomo.co/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,Newsletter mention for AI crawler policy source map,Find submission/contact path,,Newsletter links may be nofollow but useful
research,1,technical-seo,Detailed,https://detailed.com/,https://sulayman-bowles.dev/markets/technical-seo-public-data-infrastructure,Public data infrastructure,Editorial pitch on technical SEO as data infrastructure,Research fit and contact,,High editorial bar
research,1,technical-seo,TechnicalSEO.com,https://technicalseo.com/,https://sulayman-bowles.dev/atlas/sample-crawl,Atlas sample crawl,Resource/tool example for crawl evidence,Research submission path,,Only if resource list accepts examples
research,2,technical-seo,Aleyda Solis resources,https://www.aleydasolis.com/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,AI search and crawler policy resource,Research if there is a relevant roundup,,Personalized only
research,2,technical-seo,Women in Tech SEO,https://www.womenintechseo.com/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,Resource/community share if guidelines allow,Check community submission rules,,Respect community scope
research,2,technical-seo,Traffic Think Tank,https://trafficthinktank.com/,https://sulayman-bowles.dev/atlas/sample-crawl,Atlas sample crawl,Crawl evidence workflow share,Check community access/rules,,May require membership
research,2,technical-seo,Ahrefs blog,https://ahrefs.com/blog/,https://sulayman-bowles.dev/markets/canonical-identity-personal-seo,Canonical identity,Personal SEO/source graph case example,Research contributor path,,High editorial bar
research,2,technical-seo,Screaming Frog blog,https://www.screamingfrog.co.uk/blog/,https://sulayman-bowles.dev/atlas/sample-crawl,Atlas sample crawl,Crawl evidence methodology comparison,Research if guest/resource fit exists,,Avoid competitor/tool overclaim
research,1,ai-search,OpenAI developer community,https://community.openai.com/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,Source-backed discussion of search vs training crawlers,Post only if community rules allow,,Community link may be nofollow
research,1,ai-search,Perplexity docs/community,https://docs.perplexity.ai/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,Resource citing crawler distinctions,Research discussion channels,,Do not imply endorsement
research,1,ai-search,Anthropic support/community,https://support.claude.com/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,Resource citing crawler distinctions,Research discussion channels,,Do not imply endorsement
research,2,developer,Hacker News,https://news.ycombinator.com/,https://sulayman-bowles.dev/markets/technical-seo-public-data-infrastructure,Public data infrastructure,Submit only if article is genuinely discussion-worthy,Prepare concise submission title,,No outreach; community submission
research,2,developer,Lobsters,https://lobste.rs/,https://sulayman-bowles.dev/markets/technical-seo-public-data-infrastructure,Public data infrastructure,Technical discussion of machine-readable web evidence,Check invitation/access,,No spam posting
research,2,developer,Dev.to,https://dev.to/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,Republish excerpt with canonical link,Use owned account if available,,Set canonical if platform supports it
research,2,developer,Hashnode,https://hashnode.com/,https://sulayman-bowles.dev/markets/canonical-identity-personal-seo,Canonical identity,Republish technical personal SEO checklist with canonical,Use owned account if available,,Avoid duplicate without canonical
won,2,developer,GitHub Topics SEO,https://github.com/topics/seo,https://sulayman-bowles.dev/atlas,Atlas project,Improve repository topics/readme so GitHub discovery can surface it,Monitor GitHub topic metadata,Verified relevant topics on Portfolio_Site Thick-Scraper-VOID- and profile README repos,Discovery surface rather than direct backlink
research,2,developer,Awesome SEO lists,https://github.com/search?q=awesome+seo&type=repositories,https://sulayman-bowles.dev/atlas/sample-crawl,Atlas sample crawl,Submit only to maintained relevant lists,Research active repos and contribution rules,,Do not spray pull requests
research,1,local-austin,Austin Chamber,https://www.austinchamber.com/,https://sulayman-bowles.dev/austin-technical-seo,Austin technical SEO,Local service/resource profile if legitimate,Check member/directory requirements,,Avoid paid link packages
research,1,local-austin,Built In Austin,https://www.builtinaustin.com/,https://sulayman-bowles.dev/austin-technical-seo,Austin technical SEO,Local startup/tech profile or benchmark story,Research contributor/company profile options,,Only if profile eligibility exists
research,1,local-austin,Austin Business Journal,https://www.bizjournals.com/austin/,https://sulayman-bowles.dev/austin-technical-seo,Austin benchmark,Pitch aggregate crawlability benchmark once published,Prepare benchmark before pitch,,No pay-for-link
research,2,local-austin,Austin Startups,https://austinstartups.com/,https://sulayman-bowles.dev/austin-technical-seo,Austin benchmark,Guest post or benchmark summary if editorial fit exists,Research current submission path,,Verify publication is active
research,2,local-austin,Capital Factory,https://www.capitalfactory.com/,https://sulayman-bowles.dev/atlas,Atlas project,Founder/project resource if legitimate,Research member/event fit,,Only if accurate
research,2,local-austin,Austin Tech Alliance,https://www.austintech.org/,https://sulayman-bowles.dev/markets/technical-seo-public-data-infrastructure,Public data infrastructure,Public web/data infrastructure angle,Research current programs,,Only if topic fit exists
won,1,profile,Devpost,https://devpost.com/sulayman-bowles,https://sulayman-bowles.dev/,Canonical profile link,Existing Devpost Website field points to canonical site,Monitor live profile link,Verified public Devpost Website link to canonical homepage,Live checked at 2026-06-26T01:29:33Z; no Atlas-specific link yet
owned,1,profile,Kaggle,https://www.kaggle.com/sulaymanbowles,https://sulayman-bowles.dev/markets,Markets research,Update owned profile if active and relevant,Add canonical site manually if profile settings support it,,Public profile exists but fetched HTML did not show canonical site link
research,2,existing-mention,Texas Blockchain Medium Fall 24 Review,https://medium.com/@txbchain/texas-blockchain-fall-24-review-99d3c4375495,https://sulayman-bowles.dev/ai-information,Identity reconciliation,Existing public mention could support source-link reclamation if relationship exists,Confirm editor relationship before outreach,,Do not imply affiliation beyond the public article
research,1,profile,Medium,https://medium.com/,https://sulayman-bowles.dev/markets/ai-search-crawler-policy,AI crawler policy,Republish short source-backed version with canonical link,Use owned account if available,,Avoid full duplicate without canonical
research,2,profile,Substack,https://substack.com/,https://sulayman-bowles.dev/markets/technical-seo-public-data-infrastructure,Public data infrastructure,Newsletter post linking to canonical site,Use owned account if available,,Useful referral even if nofollow
research,2,profile,Product Hunt,https://www.producthunt.com/,https://sulayman-bowles.dev/atlas,Atlas project,Launch Atlas only when it has a public demo and clear product page,Prepare launch assets,,Do not launch before product is ready
research,2,profile,Indie Hackers,https://www.indiehackers.com/,https://sulayman-bowles.dev/atlas,Atlas project,Build-in-public post around crawl evidence system,Check community rules,,Community links may be nofollow
research,1,partner,Public audit collaborator,TBD,https://sulayman-bowles.dev/case-studies/technical-seo-audit,Technical SEO case study,Permissioned sanitized case study with collaborator link,Identify willing public collaborator,,Requires consent
research,1,partner,Austin web development agencies,TBD,https://sulayman-bowles.dev/method,Void Agency method,Technical SEO partner resource for dev shops,Build shortlist of agencies,,No reciprocal link pages solely for SEO
research,2,partner,SEO freelancers with resource pages,TBD,https://sulayman-bowles.dev/atlas/sample-crawl,Atlas sample crawl,Cite as crawl evidence example,Build shortlist from public search,,Personalize heavily
research,2,partner,University entrepreneurship newsletters,TBD,https://sulayman-bowles.dev/atlas,Atlas project,Student builder/founder story,Build shortlist from UT/McCombs pages,,Only where affiliation is accurate
