verified_at,prospect_name,source_url,contact_or_submission_url,fit_status,evidence,next_action,risk_boundary
2026-06-25,McCombs School of Business,https://www.mccombs.utexas.edu/centers-initiatives/brumley-institute/,https://www.mccombs.utexas.edu/centers-initiatives/brumley-institute/,opportunity_if_eligible,"Brumley Institute page lists McCombs entrepreneurship programs, resources, and contact paths.","Research whether a current student founder/profile path exists before asking for any link.","Do not request generic McCombs homepage links."
2026-06-25,Texas Venture Labs,https://www.mccombs.utexas.edu/centers-initiatives/brumley-institute/tvl-investment-competition/,https://www.mccombs.utexas.edu/centers-initiatives/brumley-institute/tvl-investment-competition/,opportunity_if_eligible,"TVLIC page describes a University of Texas graduate-student venture competition and current application path.","Only pursue profile/competition link if Atlas or a related venture is eligible and submitted.","Do not imply participation before it is public and true."
2026-06-25,Texas Venture Labs / Brumley Institute,https://www.mccombs.utexas.edu/centers-initiatives/brumley-institute/tvl-investment-competition/,https://www.mccombs.utexas.edu/centers-initiatives/brumley-institute/tvl-investment-competition/,opportunity_if_eligible,"TVLIC page describes a graduate-student venture competition and current application path.","Only pursue profile/competition link if Atlas or a related venture is eligible and submitted.","Do not imply participation before it is public and true."
2026-06-25,Brumley Institute,https://www.mccombs.utexas.edu/centers-initiatives/brumley-institute/,https://www.mccombs.utexas.edu/centers-initiatives/brumley-institute/,opportunity_if_eligible,"Brumley page lists startup fellows, TVLIC, courses, and contact resources.","Research whether a current student founder profile path exists.","Do not request generic McCombs homepage links."
2026-06-25,OpenAI developer community,https://community.openai.com/guidelines,https://community.openai.com/,ready_if_non_promotional,"Guidelines allow technical discussion around OpenAI Platform/API/developer products but warn against repetitive or unrelated promotion.","Share only if the crawler-policy article is framed as technical discussion with developer relevance.","Do not post a link-only promotional thread."
2026-06-25,Detailed,https://detailed.com/,https://detailed.com/,research,"Detailed is an SEO insights blog, but no public contact or contribution path was confirmed in this pass.","Keep as high-bar editorial research target rather than immediate outreach.","Do not add to send queue without verified contact route."
2026-06-26,GitHub profile,https://github.com/SulaymanB2024,https://github.com/SulaymanB2024,verified_owned_profile,"Public GitHub profile README links to research, Atlas, and AI information source pages.","Monitor public profile links; sidebar bio/blog updates require GitHub user-scope auth.","GitHub profile links are nofollow and do not prove DR movement."
2026-06-26,Portfolio_Site repository,https://github.com/SulaymanB2024/Portfolio_Site,https://github.com/SulaymanB2024/Portfolio_Site,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/ and raw README links to canonical homepage plus research surfaces.","Monitor repository metadata and README links.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,Thick-Scraper-VOID- repository,https://github.com/SulaymanB2024/Thick-Scraper-VOID-,https://github.com/SulaymanB2024/Thick-Scraper-VOID-,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/atlas and raw README links to Atlas pages plus sample crawl assets.","Monitor repository metadata and README links.","GitHub links are nofollow and this is not a new referring domain."
2026-06-25,Devpost profile,https://devpost.com/sulayman-bowles,https://devpost.com/sulayman-bowles,verified_owned_profile,"Public Devpost profile links to https://sulayman-bowles.dev/ as Website with rel=nofollow and also lists GitHub and LinkedIn.","Monitor existing profile link; optionally add Atlas/project links after account login.","Existing profile link is nofollow and does not prove DR movement."
2026-06-26,Website-80-2 legacy deployment,https://website-80-2.vercel.app/,https://website-80-2.vercel.app/,verified_owned_site,"Public legacy Vercel deployment has rel=canonical to https://sulayman-bowles.dev/ plus Open Graph and Twitter URL metadata pointing to the canonical homepage; sitemap lists canonical-domain URLs.","Monitor deployment only; no outreach or new code change required.","Owned Vercel deployment is public but does not prove DR movement or a new editorial referring domain."
2026-06-25,Kaggle profile,https://www.kaggle.com/sulaymanbowles,https://www.kaggle.com/sulaymanbowles,owned_profile_gap,"Public Kaggle profile is indexable but fetched HTML did not contain sulayman-bowles.dev.","Add canonical site only if account access and profile fields support it.","Do not count as a backlink until public profile HTML shows the link."
2026-06-25,Texas Blockchain Medium Fall 24 Review,https://medium.com/@txbchain/texas-blockchain-fall-24-review-99d3c4375495,https://medium.com/@txbchain,existing_mention,"Public article mentions Sulayman Bowles in the Fund Analysts section, but no canonical-site link was verified.","Optional link reclamation only through the publisher/editor if relationship exists.","Do not imply affiliation beyond the public article text."
2026-06-26,cuddly-waffle repository,https://github.com/SulaymanB2024/cuddly-waffle,https://github.com/SulaymanB2024/cuddly-waffle,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/atlas and raw README links to Atlas plus research pages.","Monitor repository metadata and README; no further action unless the repo should be consolidated with Thick-Scraper-VOID-.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,sezzle-fundamental-model repository,https://github.com/SulaymanB2024/sezzle-fundamental-model,https://github.com/SulaymanB2024/sezzle-fundamental-model,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/markets and raw README links to the markets research page.","Monitor repository metadata and README; no further action unless the research page changes.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,IMC_BOT repository,https://github.com/SulaymanB2024/IMC_BOT,https://github.com/SulaymanB2024/IMC_BOT,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/markets and raw README links to the markets research page.","Monitor repository metadata and README; no further action unless the research page changes.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,UTexas_EnergyTrading repository,https://github.com/SulaymanB2024/UTexas_EnergyTrading,https://github.com/SulaymanB2024/UTexas_EnergyTrading,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/markets and raw README links to the markets research page.","Monitor repository metadata and README; no further action unless the research page changes.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,UTexas_Coal repository,https://github.com/SulaymanB2024/UTexas_Coal,https://github.com/SulaymanB2024/UTexas_Coal,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/markets and raw README links to the markets research page.","Monitor repository metadata and README; no further action unless the research page changes.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,sturdy-lamp repository,https://github.com/SulaymanB2024/sturdy-lamp,https://github.com/SulaymanB2024/sturdy-lamp,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/markets and raw README links to the markets research page.","Monitor repository metadata and README; no further action unless the research page changes.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,DataHack repository,https://github.com/SulaymanB2024/DataHack,https://github.com/SulaymanB2024/DataHack,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/work and raw README links to the work page.","Monitor repository metadata and README; no further action unless the work page changes.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,reimagined-octo-succotash repository,https://github.com/SulaymanB2024/reimagined-octo-succotash,https://github.com/SulaymanB2024/reimagined-octo-succotash,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/ and raw README links to canonical homepage research hub and AI information page.","Monitor repository metadata and README; no further action unless the older deployment should be redirected.","GitHub links are nofollow and repository metadata does not prove DR movement."
2026-06-26,Website_2.0 repository,https://github.com/SulaymanB2024/Website_2.0,https://github.com/SulaymanB2024/Website_2.0,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/ and raw README links to canonical homepage research hub and AI information page.","Monitor repository metadata and README; no further action unless the archived build guide should be expanded.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,The_Website repository,https://github.com/SulaymanB2024/The_Website,https://github.com/SulaymanB2024/The_Website,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/ and raw README links to canonical homepage research hub and AI information page.","Monitor repository metadata and README; no further action unless the design guide should be archived more explicitly.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,ubiquitous-goggles repository,https://github.com/SulaymanB2024/ubiquitous-goggles,https://github.com/SulaymanB2024/ubiquitous-goggles,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/ and raw README links to canonical homepage research hub and AI information page.","Monitor repository metadata and README; no further action unless the legacy portfolio should be redirected.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,Website repository,https://github.com/SulaymanB2024/Website,https://github.com/SulaymanB2024/Website,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/ and raw README links to canonical homepage research hub and AI information page.","Monitor repository metadata and README; no further action unless the legacy build should be redirected.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,Gemini_G repository,https://github.com/SulaymanB2024/Gemini_G,https://github.com/SulaymanB2024/Gemini_G,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/ and raw README links to canonical homepage research hub and AI information page.","Monitor repository metadata and README; no further action unless the old Vercel deployment should redirect.","GitHub links are nofollow and this is not a new referring domain."
2026-06-26,laughing-octo-carnival repository,https://github.com/SulaymanB2024/laughing-octo-carnival,https://github.com/SulaymanB2024/laughing-octo-carnival,verified_owned_repo,"Public GitHub repo metadata homepage points to https://sulayman-bowles.dev/ and raw README links to canonical homepage research hub and AI information page.","Monitor repository metadata and README; no further action unless the masterplan should be archived more explicitly.","GitHub links are nofollow and this is not a new referring domain."
