Source ID,System / Topic,Fiscal year / as-of,Claim / data need,Source / document,Source type,URL,Page / section,Source units,Transformation / use,Reliability,Accessed
S11,TxDOT toll systems,"FY2025, year ended 2025-08-31","Recurring revenue obligations, debt maturities, concessions and five-year capital plans",TxDOT HB 803 Report FY2025,Statutory agency report,https://www.txdot.gov/content/dam/docs/division/gov/hb-803-report-fy-2025.pdf,"Tables for financed, non-financed and concession facilities; capital plan",$ millions / dates,Use disclosed components to calculate residual reserve and $100 allocation,High,2026-09-02
S12,TxDOT toll systems,FY2025 / current,Audited financial statements and investor disclosures for CTTS and Grand Parkway,TxDOT Financial Publications,State agency primary records hub,https://www.txdot.gov/about/financial-management/financial-publications.html,CTTS and Grand Parkway audited statements / continuing disclosures,Mixed,Use audited statements for accounting; HB803 for comparable recurring obligations,High,2026-09-02
S13,SH 288,Current / 2024 termination,Executed CDA and termination documents,SH 288 Toll Lanes — Executed Agreements,TxDOT contract repository,https://www.txdot.gov/business/road-bridge-maintenance/alternative-delivery/sh288-toll-lanes/executed-agreements.html,"CDA, amendments and termination agreement",Legal text,Distinguish public pavement ownership from private toll-revenue and operating rights,High,2026-09-02
S14,SH 288,2024-07-30,Termination authorization and payment,Texas Transportation Commission meeting minutes,Commission action,https://www.txdot.gov/content/dam/docs/commission/2024/0730/minutes.pdf,SH 288 termination item,Dollars / legal record,"Divide payment by 1,000,000; use exact stated amount",High,2026-09-02
S15,SH 288 / TTFC,2025-07-31,"State loan, toll-revenue assignment and post-termination financing authority",Texas Transportation Commission Minute Order,Commission order,https://www.txdot.gov/content/dam/docs/commission/2025/0731/8.pdf,Minute order 8,Dollars / legal record,"Trace state loan, revenue rights and refinancing plan separately",High,2026-09-02
S16,SH 288,Project finance / 2024 termination,Original project cost and financing sources,Build America: SH 288 Toll Lanes Project,USDOT project profile,https://www.transportation.gov/buildamerica/projects/state-highway-sh-288-toll-lanes-project,Project financing and TIFIA summary,$ millions,"Use as project-cost context, not as current legal toll sunset",High for federal finance terms,2026-09-02
S17,NTE / LBJ / NTE 35W,FY2025; filed 2026,"Revenue, EBITDA, dividends, debt, ownership and lockups",Ferrovial Factbook 2026,SEC-filed issuer presentation,https://www.sec.gov/Archives/edgar/data/1468522/000162828026032618/ferrovial-factbook2026_s.htm,North American toll roads / DFW concessions,$ millions / percentages,Do not equate EBITDA with distributable cash; preserve project-level figures,High for sponsor disclosures; not an audited project cash-flow statement,2026-09-02
S18,North Tarrant Express,Current concession,"Project cost, finance stack, term and structure",FHWA Project Profile: North Tarrant Express,Federal project profile,https://www.fhwa.dot.gov/ipd/project_profiles/tx_north_tarrant.aspx,Project overview and financing,$ millions / years,Use for original financing and concession structure,High; update current ownership separately,2026-09-02
S19,LBJ Express,Current concession,"Project cost, finance stack, term and structure",FHWA Project Profile: LBJ Express,Federal project profile,https://www.fhwa.dot.gov/ipd/project_profiles/tx_lbj_express.aspx,Project overview and financing,$ millions / years,Use for original financing and concession structure,High; update current ownership separately,2026-09-02
S20,NTE 35W,Current concession,"3A/3B delivery split, finance stack, term and structure",FHWA Project Profile: NTE 35W,Federal project profile,https://www.fhwa.dot.gov/ipd/project_profiles/tx_north_tarrant_3a3b.aspx,Project overview and financing,$ millions / years,Separate privately financed 3A from publicly delivered 3B where material,High; update current ownership separately,2026-09-02
S21,SH 130 Segments 5–6,Current,"Responsible entity, public ownership and 50-year concession",TxDOT SH 130 Project Page,State agency primary page,https://www.txdot.gov/business/road-bridge-maintenance/alternative-delivery/sh130.html,Project overview,Legal / descriptive,Use responsible entity and term; do not infer ultimate equity chain,High,2026-09-02
S22,SH 130 Segments 5–6,Current agreement,Executed facility concession agreement and amendments,TxDOT SH 130 Executed Agreements,Contract repository,https://www.txdot.gov/business/road-bridge-maintenance/alternative-delivery/sh130/executed-agreements.html,Facility Concession Agreement,Legal text,"Use for toll rights, O&M duties, revenue sharing, default and reversion",High,2026-09-02
S23,SH 130 Segments 5–6,Original financing / 2016–2017 restructuring,"Original project cost, finance and bankruptcy history",Build America: SH 130 Segments 5 and 6,USDOT project profile,https://www.transportation.gov/buildamerica/projects/sh-130-segments-5-and-6,Project financing and TIFIA summary,$ millions / dates,Use for financing and restructuring context,High for federal finance terms,2026-09-02
S24,SH 130 Segments 5–6,Current,Current operator/company description,SH 130 Concession Company — About,Concession company primary page,https://mysh130.com/about/,Company / operator description,Descriptive,Use only for company identity; ultimate equity remains unresolved,Medium-high,2026-09-02
S25,FBCTRA,FY2025,"Audited revenue, expense, debt and reserve balances",Fort Bend County Toll Road Authority FY2025 Financial Report,Audited authority report,https://transparencydocs.fortbendcountytx.gov/Traditional_Finances/2025/FY2025_FBCTRA.pdf,Basic financial statements and notes,Dollars,"Divide by 1,000,000; no cash-flow allocation where unavailable",High; direct PDF blocks crawler,2026-09-02
S26,FBGPTRA,FY2025,"Separate audited authority revenue, expense and debt",Fort Bend Grand Parkway Toll Road Authority FY2025 Financial Report,Audited authority report,https://transparencydocs.fortbendcountytx.gov/Traditional_Finances/2025/FY2025_FBGPTRA.pdf,Basic financial statements and notes,Dollars,Keep separate from FBCTRA and countywide figures,High; direct PDF blocks crawler,2026-09-02
S27,Regional mobility authorities,Current code,Surplus use after required payments,Texas Transportation Code Chapter 370,Texas statute,https://statutes.capitol.texas.gov/Docs/TN/htm/TN.370.htm,§370.174,Legal text,"Classify reduce-toll, reserve and other-transportation-project options",Controlling statute,2026-09-02
S28,NTTA,Current code,Regional tollway authority powers and surplus limitations,Texas Transportation Code Chapter 366,Texas statute,https://statutes.capitol.texas.gov/Docs/TN/htm/TN.366.htm,§366.407 and related bond/toll provisions,Legal text,Read subject to trust agreement and outstanding bond covenants,Controlling statute,2026-09-02
S29,TxDOT toll systems,Current code,Use of surplus toll revenue,Texas Transportation Code Chapter 228,Texas statute,https://statutes.capitol.texas.gov/Docs/TN/htm/TN.228.htm,§228.006,Legal text,Separate commission-authorized use from bond-required reserves,Controlling statute,2026-09-02
