source_id,title,publisher_or_origin,source_type,primary_or_secondary,url_or_identifier,publication_date,accessed_date,time_period_covered,claims_supported,important_definitions,limitations,notes
S11,L3Harris Signs Transformational Agreement to Drastically Increase Production for PAC-3 MSE,L3Harris Technologies,company press release,primary company disclosure,https://www.l3harris.com/newsroom/press-release/2026/07/l3harris-transformational-agreement-increase-PAC3-MSE,2026-07-27,2026-08-16,2026-2033,Framework to nearly triple PAC-3 propulsion product output; seven-year term; expected definitization later in 2026,"Framework; propulsion products include two-pulse SRM, attitude-control motors and lethality enhancer",Mixed propulsion products; not yet definitized,Do not equate multiplier with motor count.
S12,Department of Defense Awards $14.3 Million to Expand Sources of Solid Rocket Motors,U.S. Department of Defense,government award release,primary,https://www.defense.gov/News/Releases/Release/Article/4022917/department-of-defense-awards-143-million-to-expand-sources-of-solid-rocket-moto/,2025-01-07,2026-08-16,2025 onward,"$14.3M DPA award alongside Anduril $75M private capital; McHenry mixing, casting, curing, QA and final assembly; development, qualification and delivery capacity",DPA Title III award,"Capability expansion, not proof of named-program qualification",Independent government corroboration.
S13,Anduril Expands Solid Rocket Motor Production Facility,Anduril Industries,company press release,primary company disclosure,https://www.anduril.com/article/anduril-expands-solid-rocket-motor-production-facility/,2024-06-10,2026-08-16,2024-2026,"Annual tactical-scale capacity expansion from 600 to >6,000; $75M private investment; 450-acre facility",Tactical-scale motors,"Target, not verified delivered rate",Clean baseline-to-target disclosure.
S14,Enter Anduril: The United States’ Third Supplier of Solid Rocket Motors,Anduril Industries,company press release,primary company disclosure,https://www.anduril.com/news/enter-anduril-the-united-states-third-supplier-of-solid-rocket-motors,2025-08-05,2026-08-16,2024-2026,"Operational full-rate facility; >700 motors test-fired since January 2024; >100 employees; 6,000 tactical motors/year target by end-2026",Company-described full-rate facility; tactical motors,Test fires are not deliveries; facility readiness does not imply qualification for every program,Strongest entrant operating evidence.
S15,Denali,Anduril Armory,product page,primary company disclosure,https://armory.anduril.com/products/denali,2026,2026-08-16,current,"Production line in place for 1,200+ Denali units/year",Product-specific line,Product-page claim; no independent delivery-rate verification,"Do not add to 6,000 site capacity without overlap evidence."
S16,Saab Chooses Anduril Rocket Motor Systems for Ground-Launched Small Diameter Bomb,Anduril Industries,company press release,primary company disclosure,https://www.anduril.com/news/saab-chooses-anduril-rocket-motor-systems-to-design-and-produce-solid-rocket-motors-for-the,2025-06-20,2026-08-16,2025-2026,"Selected to design, develop, qualify and eventually produce GLSDB replacement motor; planned full-rate transition in 2026",Selection and qualification plan versus production contract,Qualification and production transition not independently confirmed at cutoff,Named-program pathway evidence.
S17,Powering America’s Arsenal: Anduril Expands Rocket Motor Production with Additional $43.7M in DPA Title III Funding,Anduril Industries,company press release,primary company disclosure,https://www.anduril.com/news/powering-america-s-arsenal-anduril-expands-rocket-motor-production-with-additional-usd43-7m-in-defense-production-act-title-iii-funding,2026,2026-08-16,2026 onward,"Additional DPA funding for test infrastructure, storage and tooling; company reports an allied full-rate tactical air-defense production contract",DPA expansion; allied production contract,Company disclosure; no contract quantity disclosed,Supports readiness level 3 for at least one tactical product.
S18,X-Bow Readies Nation’s Newest Solid Rocket Motor Facility for Production,X-Bow Systems via PR Newswire,company press release,primary company disclosure,https://www.prnewswire.com/news-releases/x-bow-readies-nations-newest-solid-rocket-motor-facility-for-production-302620703.html,2025-11-19,2026-08-16,2025-2027,Luling commissioning; 1M pounds energetics annually initially; 3M within 12-24 months; $40M private capital plus government co-investment; missile-equivalent scenarios,Energetics mass; Standard Missile equivalent; tactical equivalent,Scenario conversions depend on undisclosed motor mix and implied propellant-per-motor assumptions,Central denominator illustration.
S19,X-Bow Acquires Evolution Space,X-Bow Systems via PR Newswire,company press release,primary company disclosure,https://www.prnewswire.com/news-releases/x-bow-acquires-evolution-space-302709521.html,2026,2026-08-16,2026 onward,Expansion through Evolution Space assets and a separate Stennis-area capacity claim,Acquisition versus operational at-rate output,"Not included in the core total because output status, mix and overlap could not be normalized from public disclosure",Watchlist only.
S20,Solid Rocket Motors,Ursa Major,company capability page,primary company disclosure,https://ursamajor.com/solid-rocket-motors/,2026,2026-08-16,current,2-22 inch adaptable line; static fires at five diameters; 11 live-fire flights; hundreds of motors/year,Adaptable manufacturing line; production rate,Broad “hundreds” claim; product mix and delivered rate not disclosed,Use precise 200/year secondary company disclosure where cited separately only if available.
S21,Ursa Major and US Navy Make $25 Million Joint Investment in New Solid Rocket Motor Prototype,Ursa Major,company press release,primary company disclosure,https://ursamajor.com/media/press-release/ursa-major-and-us-navy-make-usd25-million-joint-investment-in-new-solid/,2024-09-18,2026-08-16,2024-2026,$12.5M government investment matched by Ursa; $25M pathfinder; separate Mk104 development award,Pathfinder; prototype; second-source development,"Prototype investment, not production order",Capital and qualification pathway.
S22,Ursa Major Successfully Completes SRM Manufacturing Pathfinder Program with U.S. Navy and OSC,Ursa Major,company press release,primary company disclosure,https://ursamajor.com/media/press-release/complete-us-navy-and-osc-10-inch-srm-program/,2026-07-06,2026-08-16,2024-2026,"Pathfinder completed on schedule in February 2026; 10-inch HLG prototype designed, manufactured and static-fired; performance objectives met",Technical and manufacturing foundation,"Company explicitly describes foundation for future systems, not program qualification",Strong prototype evidence.
S23,Prometheus Energetics Breaks Ground on New Solid Rocket Motor Manufacturing Campus in Indiana,Prometheus Energetics via PR Newswire,company press release,primary company disclosure,https://www.prnewswire.com/news-releases/prometheus-energetics-breaks-ground-on-new-solid-rocket-motor-manufacturing-campus-in-indiana-302693326.html,2026-02-20,2026-08-16,2026-2027+,~600 acres; four lines; up to 800 tons energetics capacity; up to $175M committed; production projected for 2027 after construction and certification,Energetics capacity; time basis not disclosed; certification,Pre-production; “tons” basis and period not defined; capacity should not be converted to annual motors,"Largest clean-sheet entrant claim by disclosed native mass, but not operational."
S24,American Pacific Corporation Finalizes $100 Million Capacity Expansion with Parent Company Approval,American Pacific Corporation,company press release,primary company disclosure,https://www.ampac.us/press-release-100-million-capacity-expansion/,2025-06-11,2026-08-16,2025-2026,Up to $100M for new ammonium perchlorate line at Cedar City; >50% capacity increase; completion anticipated in 2026,Ammonium perchlorate production capacity,No absolute mass disclosed; capacity remains within same supplier/facility lineage,"Throughput expansion, not independent-source diversification."
S25,NewMarket Corporation 2025 Form 10-K,NewMarket Corporation / SEC,company filing,primary,https://www.sec.gov/Archives/edgar/data/1282637/000128263726000005/neu-20251231.htm,2026,2026-08-16,2025,Parent-company confirmation of AMPAC expansion and timing,Capital project; operating facility,Does not publish absolute AP output,Corroborates press release.
S26,"National Defense Authorization Act for Fiscal Year 2026, Senate Report 119-39",U.S. Senate Committee on Armed Services,congressional committee report,primary policy document,https://www.congress.gov/committee-report/119th-congress/senate-report/39/1,2025,2026-08-16,2025-2026,Committee states domestic HTPB supply is fragile and relies on one U.S. production facility; requests assessment and mitigation,HTPB binder; domestic supply chain,"Committee understanding, not a full market census; underlying briefing may be nonpublic",Upstream concentration.
S27,"Department of Defense Appropriations Bill, 2026, Senate Report 119-52",U.S. Senate Committee on Appropriations,congressional committee report,primary policy document,https://www.congress.gov/committee-report/119th-congress/senate-report/52/1,2025,2026-08-16,2025-2026,Third-tier supply limitations continue to constrain Mk72/Mk104 production; second source alone is insufficient,Third-tier supplier constraint,Committee report; does not name every constrained input,Direct evidence that final-motor capacity is not the whole bottleneck.
S28,FY2026 House NDAA Report: Alternative Manufacturer Qualification for SM-6 Solid Rocket Motors,U.S. House Committee on Armed Services,congressional committee report,primary policy document,https://www.congress.gov/committee-report/119th-congress/house-report/231/1,2025,2026-08-16,2025-2029,Navy awarded at least six contracts to validate/mature Mk72 and Mk104 alternatives; second sources must qualify by 2029,"Validate, mature, qualify, second source",Does not identify all awardees or public milestones,Qualification deadline anchor.
S29,Consolidated Appropriations Congressional Record: Solid Rocket Motors,U.S. Congress,congressional record,primary policy document,https://www.congress.gov/congressional-record/volume-172/issue-15/house-section/article/H1353-2,2026,2026-08-16,2026,"$500M for SRM industrial-base modernization/expansion, including $150M for qualification and testing of second sources",Appropriated industrial-base funding; qualification/testing,Funding availability does not prove obligation or completed output,Shows qualification is a separately funded bottleneck.
S30,Lockheed Opposes Northrop Bid to Remove Firewall on Solid Rocket Motor Business,Breaking Defense,specialist reporting,secondary with attributed primary comments,https://breakingdefense.com/2026/05/lockheed-opposes-northrop-bid-to-remove-firewall-on-solid-rocket-motor-business/,2026-05-06,2026-08-16,2026,Lockheed argues entrants are not yet able to produce large SRMs at scale; Northrop remains sole supplier for some large programs; counter-view says tactical competition has improved,Large SRM at scale; full-rate production,"Stakeholder positions are interested advocacy, not neutral market measurement",Primary counter-case and competing views.
S31,The American Missile Crisis,Contrary Research,specialist research,secondary analysis,https://research.contrary.com/report/the-american-missile-crisis,2026-05-26,2026-08-16,Cold War-2026,AP concentration thesis; alternative propulsion argument; adjacent constraints and qualification lag,AP bottleneck; alternative propulsion,Includes investment/industry affiliations; some claims depend on secondary sources; thesis is broader than this audit,Strong competing treatment.
S32,Solid Rocket Motors for Missile Defense: Challenges and Opportunities for Expanding the Industrial Base,Center for Strategic and International Studies,policy analysis,secondary analysis,https://www.csis.org/analysis/solid-rocket-motors-missile-defense-challenges-and-opportunities-expanding-industrial-base,2026-06-12,2026-08-16,current,Policy and incentive analysis of SRM capacity/competition,Industrial-base expansion,Strong direct competitor but does not provide a normalized plant-level native-unit audit; sponsored research disclosures require reader attention,Competitor set.
S33,Firehawk Aerospace Expands U.S. Rocket Manufacturing with Mississippi Facility Acquisition,Firehawk Defense,company press release,primary company disclosure,https://firehawkdefense.com/news/firehawk-aerospace-expands-u-s-rocket-manufacturing-with-mississippi-facility-acquisition/,2025-12-19,2026-08-16,2025 onward,Agreement to acquire DCMA-rated integration facility; 636 acres; 340-acre Oklahoma production campus in development; aspirational thousands-per-month tempo,Agreement to acquire; integration facility; production campus,No product-mix-adjusted annual output or completed at-rate production disclosed,"Watchlist, excluded from aggregate claims."
