brand_id,brand_name,aliases,primary_category,categories,consumer_brand_status,inclusion_status,austin_presence_status,austin_presence_type,address_or_base,service_area_summary,current_owner_type,current_platform_or_franchise_system,current_ultimate_owner_or_controller,ownership_interest,ownership_verification_status,evidence_rating,local_claim_type,franchise_flag,retained_consumer_brand_after_transaction,snapshot_date,presence_source_ids,ownership_source_ids,notes
B016,McCullough Heating & Air Conditioning,,HVAC / plumbing,HVAC|plumbing|home energy,active,published_active,verified_current,Austin office / metro service area,,"Austin, Cedar Park, Georgetown, Lakeway, Leander, Pflugerville and Round Rock",Founder/family/local ownership,,Local ownership asserted; exact current equity holders unresolved,"current local ownership claim; president identified, exact cap table unavailable",self_reported_local_current,B,locally owned,False,False,2026-07-26,S105,S105|S106,
B017,"Efficient AC, Electric & Plumbing",,HVAC / electrical / plumbing,HVAC|electrical|plumbing,active,published_active,verified_current,Austin office,,Austin metro,Founder/family/local ownership,,George Drazic and Molly Drazic,current owners identified by company,verified_current_chain,A,100% local ownership stated,False,False,2026-07-26,S107,S107,
B018,Reliant Plumbing,,Plumbing,plumbing,active,published_active,verified_current,Austin-area offices,,"Austin, Lakeway, Georgetown and surrounding areas",Founder/family/local ownership,,Max Hicks / Hicks family,founder/family ownership stated; exact cap table not public,verified_local_owner,B,family owned and locally operated,False,False,2026-07-26,S108,S108,
B019,Christianson Air Conditioning & Plumbing,,HVAC / plumbing,HVAC|plumbing,active,published_active,verified_current,Round Rock office / Austin service area,,Austin and Round Rock metro,Founder/family/local ownership,,Christianson family,family ownership stated; exact current equity allocation not public,self_reported_local_current,B,family owned,False,False,2026-07-26,S109,S109,
B020,Excalibur Plumbing,,Plumbing,plumbing,active,published_active,verified_current,Leander/Austin office,,"Austin, Leander and nearby suburbs",Founder/family/local ownership,"Excalibur Plumbing, LLC",Blake Smith,managing member/owner evidence,verified_current_chain,A,locally owned,False,False,2026-07-26,S110,S110|S111,
B021,Austin Air Conditioning,,HVAC,HVAC,active,published_active,verified_current,Austin-area operating brand,,Central Texas,Sponsor-backed platform,SAS Service Partners,Storr Group,Storr-backed platform; seller rollover equity documented,verified_current_chain,A,locally operated retained brand after acquisition,False,True,2026-07-26,S041,S037|S040|S044,
B022,Roger’s Plumbing,,Plumbing,plumbing,active,published_active,verified_current,Leander headquarters / Austin service area,,North Austin and Central Texas,Sponsor-backed platform,SAS Service Partners,Storr Group,Storr-backed platform; founder joined platform,verified_current_chain,A,retained Leander/Austin brand after acquisition,False,True,2026-07-26,S042,S038|S040,
B023,Whitestone Plumbing,,Plumbing,plumbing,active,published_active,verified_current,Cedar Park base,,"Cedar Park, Leander and Austin metro",Founder/family/local ownership,,Ben Helton,owner identified by current business profile; company asserts local ownership,verified_local_owner,B,locally owned,False,False,2026-07-26,S112,S112|S113,
B024,Crow’s Plumbing Service,,Plumbing,plumbing,active,published_active,verified_current,Round Rock base,,Greater Austin,Founder/family/local ownership,,Jack Crow,managing member identified; current company and license evidence,verified_local_owner,B,local operator,False,False,2026-07-26,S114,S114|S115,
B025,AirFix Mechanical,,HVAC,HVAC,active,published_active,verified_current,Round Rock/Austin base,,Austin and Round Rock metro,Founder/family/local ownership,"AirFix Mechanical, LLC",Exact equity owner unresolved,current legal entity and local operation verified; controller unresolved,verified_entity_control_unresolved,C,locally owned claim,False,False,2026-07-26,S116,S116,
B026,Austin Major Air & Heat,,HVAC,HVAC,active,published_active,verified_current,Austin operator,,Austin metro,Private/control unresolved,"Adoni Enterprises, Inc. (alternate legal identity lead)",Current controller unresolved,operating identity lead only,unresolved_control,D,none relied upon,False,False,2026-07-26,S117,S117,"Included as a current operating company, but not classified as independent or locally owned without stronger current equity evidence."
B027,Kidd Roofing,,Roofing / exterior,roofing|exterior,active,published_active,verified_current,Austin office,,Austin and Central Texas,Private/control unresolved,"D.R. Kidd Company, Inc.",Current controller unresolved,executive identity available; equity control not established,unresolved_control,C,private-company history; no ownership conclusion,False,False,2026-07-26,S118,S118|S119,
B028,Hall Roofing & Construction,,Roofing / exterior,roofing|exterior,active,published_active,verified_current,Round Rock office,,"Austin, Round Rock, Cedar Park, Georgetown, Hutto, Leander and Pflugerville",Founder/family/local ownership,,Erik Hall,owner/leader identified in current company materials,verified_local_owner,B,local owner-operated,False,False,2026-07-26,S120,S120,
B029,RoofCrafters,,Roofing / exterior,roofing|exterior,active,published_active,verified_current,Leander headquarters,,Austin metro,Founder/family/local ownership,"RoofCrafters, Inc.",Family/local ownership asserted; exact controller unresolved,current entity and local/family claim; cap table unavailable,self_reported_local_current,C,family-owned / locally based,False,False,2026-07-26,S121,S121|S122,
B030,Longhorn Roofing,,Roofing,roofing,active,published_active,verified_current,Austin operator,,Austin metro,Founder/family/local ownership,,Tom Green,current owner/leader identified,verified_local_owner,B,locally owned,False,False,2026-07-26,S123,S123,
B031,Ja-Mar Roofing & Sheet Metal,,Roofing / exterior,roofing|sheet metal|exterior,active,published_active,verified_current,Austin office / retained brand,,Austin and Central Texas,Sponsor-backed platform,Roofing Services Solutions,Dunes Point Capital,acquired by sponsor-backed platform,verified_current_chain,A,retained Austin brand; current site also uses local-owner wording,False,True,2026-07-26,S047,S045|S046|S047,The current “local owners” wording is treated as management/operating language unless the company documents a post-transaction equity structure.
B032,Anderson Roofing & Construction,,Roofing,roofing,active,published_active,verified_current,Leander base,,Austin and surrounding communities,Founder/family/local ownership,,Anderson family / local owners,family ownership asserted; exact current equity holders not public,self_reported_local_current,C,family owned and operated,False,False,2026-07-26,S124,S124,
B033,Silver Creek Exterior & Construction,,Roofing / exterior,roofing|exterior,active,published_active,verified_current,Central Texas operator,,Austin and Central Texas,Founder/family/local ownership,,Local owners; identities unresolved,local ownership asserted; exact owners not established,self_reported_local_current,C,locally owned,False,False,2026-07-26,S125,S125,
B034,Wilson Roofing,,Roofing,roofing,active,published_active,verified_current,Austin office,,Austin metro,Private/control unresolved,,Current controller unresolved,current operation verified; no publication-grade controller evidence,unresolved_control,D,none relied upon,False,False,2026-07-26,S126,S126,
B035,Austin Roofing and Construction,,Roofing,roofing,active,published_active,verified_current,Austin office,,Austin metro,Private/control unresolved,,Current controlling partners unresolved,current private partnership verified; control allocation unavailable,unresolved_control,D,local office; ownership not inferred,False,False,2026-07-26,S127,S127,
B036,Olshan Foundation Repair,,Foundation repair,foundation repair|waterproofing,active,published_active,verified_current,Austin office / service area,,Austin metro,Private/control unresolved,Olshan Foundation Repair,Current controlling owner unresolved,current Austin presence verified; controller not established,unresolved_control,D,no local/family label assigned,False,False,2026-07-26,S128,S128,
B037,Ram Jack Austin,,Foundation repair,foundation repair,active,published_active,verified_current,Austin franchise territory,,Austin metro,Local franchise operator,Ram Jack franchise system,Local franchisee identity unresolved,independently owned franchise; local owner unresolved,verified_franchisor_local_operator_unresolved,B,independently owned and operated franchise,True,False,2026-07-26,S129,S129,
B038,CenTex Foundation Repair,,Foundation repair,foundation repair,active,published_active,verified_current,Central Texas operator,,Austin and Central Texas,Private/control unresolved,,Current controller unresolved,founder history and current operation known; present equity unclear,unresolved_control,D,founder history only,False,False,2026-07-26,S130,S130,
B039,Douglas Foundation Repair,,Foundation repair,foundation repair,active,published_active,verified_current,Austin office,,Austin metro,Private/control unresolved,,Current controller unresolved,current Austin operation verified; controller not established,unresolved_control,D,none relied upon,False,False,2026-07-26,S131,S131,
B040,Advanced Foundation Repair,,Foundation repair,foundation repair,active,published_active,verified_current,Austin service area,,Austin metro,Private/control unresolved,"Advanced Foundation Repair, LP",Current controller unresolved,legal entity and current Austin operation verified; controller not established,unresolved_control,D,none relied upon,False,False,2026-07-26,S132,S132|S133,
B041,Baird Foundation Repair,,Foundation repair,foundation repair,active,published_active,verified_current,Georgetown/Austin office,,Austin and Central Texas,Founder/family/local ownership,,John Baird and Melanie Baird,sole owners stated in current company material,verified_current_chain,A,family owned,False,False,2026-07-26,S134,S134,
B042,Groundworks,,Foundation repair,foundation repair|waterproofing,active,published_active,verified_current,Austin service area dispatched from San Antonio-area office,,Austin metro,Sponsor-backed platform,"Groundworks Companies, LLC",KKR; Cortec retains minority positions,KKR controlling/majority; Cortec minority,verified_current_chain,A,national platform serving Austin,False,False,2026-07-26,S048,S049|S050,
B043,G.L. Hunt Foundation Repair,,Foundation repair,foundation repair,active,published_active,verified_current,Austin office,,Austin metro and Central Texas,Founder/family/local ownership,,Gary Hunt / Hunt family,family ownership stated in current company materials,verified_local_owner,B,family owned,False,False,2026-07-26,S135,S135,
B044,All in One Foundation Repair,,Foundation repair,foundation repair,active,published_active,verified_current,Austin operator,,Austin metro,Founder/family/local ownership,,Robert J. Knight,owner identified by business profile; local claim current,verified_local_owner,B,locally owned,False,False,2026-07-26,S136,S136|S137,
B045,Bats Foundation Repair,,Foundation repair,foundation repair,active,published_active,verified_current,Austin operator,,Austin metro,Founder/family/local ownership,,Brent Parks,principal owner/managing member identified,verified_current_chain,A,locally owned,False,False,2026-07-26,S138,S138,
B046,Quality Foundation Repair,,Foundation repair,foundation repair,active,published_active,verified_current,Austin address,,Austin metro,Founder/family/local ownership,,Simon Wallace,founder/owner identified by current independent profile and active business evidence,verified_local_owner,B,local operator,False,False,2026-07-26,S139|S140,S140|S141,"Reverses Model A’s exclusion. The company has a current Austin address, active official site, and a named founder/owner trail."
B047,Bruecher Foundation,,Foundation repair,foundation repair,active,published_active,verified_current,Austin operator,,Austin metro,Founder/family/local ownership,,Bruecher family / local owners,family-business claim current; exact equity holders unresolved,self_reported_local_current,C,family owned,False,False,2026-07-26,S142,S142,
B048,Aptive Environmental,,Pest control,pest control,active,published_active,verified_current,Austin branch,,Austin metro,Sponsor-backed platform,Aptive Environmental,Citation Capital; management retains significant interest,Citation majority; management significant minority,verified_current_chain,A,national branch,False,False,2026-07-26,S053,S052|S053,
B049,A-Tex Pest Management,,Pest control,pest control,active,published_active,verified_current,Austin-area operator,,Greater Austin,Founder/family/local ownership,,Local ownership asserted; exact equity holders unresolved,current local claim and president/CEO lead; cap table unavailable,self_reported_local_current,C,locally owned,False,False,2026-07-26,S143,S143|S144,
B050,HomeTeam Pest Defense,,Pest control,pest control,active,published_active,verified_current,Austin service branch,,Austin and surrounding suburbs,Public-company owned,HomeTeam Pest Defense,"Rollins, Inc.",wholly owned public-company subsidiary/brand,verified_current_chain,A,national branch,False,False,2026-07-26,S145,S055|S056,
B051,Bulwark Exterminating,,Pest control,pest control,active,published_active,verified_current,Austin branch,,Austin metro,Founder/family/local ownership,,Seever family,family ownership stated in current company material,verified_local_owner,B,family owned,False,False,2026-07-26,S146,S146,
B052,Berrett Home Services / Berrett Pest Control,,Pest control,pest control,active,published_active,verified_current,Austin service area,,Austin metro,Founder/family/local ownership,,Nathan Berrett / Berrett family,founder/president and family operation identified,verified_current_chain,A,family owned and operated,False,False,2026-07-26,S147,S147|S148,
B053,Alta Pest Control,,Pest control,pest control,active,published_active,verified_current,Pflugerville/Austin branch,,Austin metro,"Minority-invested, founder-controlled",Alta Pest Control,Founders retain control; Trivest Partners is minority investor,Trivest non-control minority; founders retain operational and financial control,verified_current_chain,A,Austin-founded company with minority outside capital,False,False,2026-07-26,S149,S054|S149,
B054,Romney Pest Control,,Pest control,pest control,active,published_active,verified_current,dispatch/service area from Selma office,,Austin and San Antonio metros,Founder/family/local ownership,,Greg Romney and family,founder/family ownership stated,verified_local_owner,B,locally owned,False,False,2026-07-26,S150,S150,
B055,Pest Wranglers,,Pest control,pest control,active,published_active,verified_current,Round Rock base,,"Austin, Round Rock and nearby suburbs",Founder/family/local ownership,"Wranglers Service Group, Inc.",Local owners; individual controller unresolved,local ownership asserted; legal entity lead available,self_reported_local_current,C,locally owned,False,False,2026-07-26,S151,S151,
B056,Stride Pest Control,,Pest control,pest control,active,published_active,verified_current,Austin operator,,Austin metro,Founder/family/local ownership,"Stride Pest Control, LLC",Tyson Kearns,owner and legal entity identified in current company material,verified_current_chain,A,locally owned,False,False,2026-07-26,S152,S152,
B057,Orkin,,Pest control,pest control,active,published_active,verified_current,Austin branches,,Austin metro,Public-company owned,Orkin,"Rollins, Inc.",wholly owned public-company brand/subsidiary,verified_current_chain,A,national branch,False,False,2026-07-26,S153,S056|S153,
B058,Terminix,,Pest control,pest control,active,published_active,verified_current,Austin branch,,Austin metro,Public-company owned,Terminix / Rentokil North America,Rentokil Initial plc,completed strategic acquisition,verified_current_chain,A,national branch,False,False,2026-07-26,S154,S057|S154,
B059,Hawx Pest Control,,Pest control,pest control,active,published_active,verified_current,Austin service page,,Austin metro,Private/control unresolved,Hawx Services,Last documented sponsor PCM Growth/PCM Encore; current continuity unresolved,2021 acquisition documented; current controller not independently reconfirmed,unresolved_current_sponsor,D,national/multi-market branch,False,False,2026-07-26,S155,S058|S155,
B060,Ranger Termite & Pest Control,,Pest control,pest control,active,published_active,verified_current,Austin base,,Austin metro,Private/control unresolved,"Ranger Termite & Pest Control, Inc.",Current controller unresolved due conflicting owner/president references,operating company current; equity conflict unresolved,unresolved_control_conflict,D,local operating history only,False,False,2026-07-26,S156,S156|S157,
B061,EcoShield Pest Solutions,,Pest control,pest control,active,published_active,verified_current,Austin branch,,Austin metro,Private/control unresolved,EcoShield Pest Solutions,Current Austin operator/controller unresolved,current brand presence verified; 2015 divisional sale does not establish current brand ownership,unresolved_control_historical_conflict,D,national/multi-market branch,False,False,2026-07-26,S158,S059|S158,
B062,Massey Services,,Pest control,pest control,active,published_active,verified_current,Austin branch,,Austin metro,Founder/family/local ownership,Massey Services,Massey family / Tony Massey,family control stated by current company,verified_current_chain,A,family owned,False,False,2026-07-26,S159,S159|S160,
B063,Natran Green Pest Control,,Pest control,pest control,active,published_active,verified_current,Austin branch,,Austin metro,Founder/family/local ownership,,Gordon Doran,founder/owner/CEO identified,verified_current_chain,A,locally founded,False,False,2026-07-26,S161,S161,
B064,X Out Pest Services,,Pest control,pest control,active,published_active,verified_current,Austin operation,,Austin metro,Founder/family/local ownership,"X Out Pest Services, LLC",Dewey Petersen,managing member identified,verified_local_owner,B,local operator,False,False,2026-07-26,S162,S162|S163,
B065,ClearDefense Pest Control,,Pest control,pest control,active,published_active,verified_current,Austin office,,Austin metro,Founder/family/local ownership,,"Founders John-Mark Bolton, Chris Cunningham and Jason Brown; current allocation not public",founder-led company; current cap table not public,verified_founder_led_partial,B,founder led,False,False,2026-07-26,S164,S164,
B066,Roberts Termite & Pest Control,,Pest control,pest control,active,published_active,verified_current,Greater Austin operator,,Austin metro,Founder/family/local ownership,,Roberts family / local owners,family ownership asserted; exact equity holders not public,self_reported_local_current,C,family owned,False,False,2026-07-26,S165,S165,
B067,Absolute Pest Management,,Pest control,pest control,active,published_active,verified_current,Austin operator,,Austin metro,Founder/family/local ownership,,Tony Ragan / Ragan family,president and family ownership stated,verified_local_owner,B,locally family owned,False,False,2026-07-26,S166,S166,
B068,Cool Atmosphere,,HVAC,HVAC,absorbed/rebranded,historical_not_denominator,not_in_headline_denominator,former Leander brand,,North Austin,Historical / absorbed,SAS Service Partners,Storr Group,acquired by SAS and later combined into Austin Air Conditioning,historical_absorbed,A,former retained local brand,False,True,2026-07-26,S043,S039|S040|S043,
B069,Dayton Services,,HVAC / plumbing,HVAC|plumbing,rebranded,historical_not_denominator,not_in_headline_denominator,former Austin brand,,Austin metro,Historical / rebranded,Goettl Air Conditioning & Plumbing,Cortec Group,rebranded into Goettl Austin,historical_rebranded,B,former local brand,False,False,2026-07-26,S018,S018|S019,
B070,Foundation Support Specialists,,Foundation repair,foundation repair,absorbed/rebranded,historical_not_denominator,not_in_headline_denominator,former Austin-facing brand,,Austin metro,Historical / rebranded,Groundworks,KKR; Cortec minority,acquired by Groundworks and no longer treated as separate current public brand in this package,historical_absorbed,A,former regional brand,False,True,2026-07-26,S051,S049|S050|S051,
B071,Sierra Air Services,,HVAC,HVAC,candidate,candidate_not_published,not_in_headline_denominator,indexed permit history only,,Austin metro,Candidate / unresolved,,,not established,candidate_current_status_unverified,D,none,False,False,2026-07-26,I001,I001,Current official operating evidence was not strong enough for publication. Last indexed Austin permit evidence identified in the review was historical.
B072,Bastion Pest Control,,Pest control,pest control,candidate,candidate_not_published,not_in_headline_denominator,launch/job-posting lead only,,Austin metro,Candidate / unresolved,,,not established,candidate_launch_unverified,D,none,False,False,2026-07-26,I001,I001,
B073,Hydepark Foundation Repair,,Foundation repair,foundation repair,unverified,excluded,not_in_headline_denominator,generic web property,,Austin,Excluded / unverified,,,not established,excluded_unverified_operator,D,none,False,False,2026-07-26,I001,I001,
B074,Austin Foundation Repair Team,,Foundation repair,foundation repair,unverified,excluded,not_in_headline_denominator,generic web property,,Austin,Excluded / unverified,,,not established,excluded_unverified_operator,D,none,False,False,2026-07-26,I001,I001,
B075,West Lake Hills Foundation Repair,,Foundation repair,foundation repair,unverified,excluded,not_in_headline_denominator,generic web property,,West Lake Hills,Excluded / unverified,,,not established,excluded_unverified_operator,D,none,False,False,2026-07-26,I001,I001,
