"facility","states","structure","public_title_or_sponsor","private_role_and_current_chain","term_or_reversion","confidence","primary_source"
"I-77 Express Lanes","North Carolina","Public-title traffic-risk concession","North Carolina Department of Transportation","I-77 Mobility Partners operates the express lanes and receives toll revenue; Ferrovial/Cintra is the controlling disclosed sponsor.","50-year concession scheduled into the late 2060s","Strong","https://www.ncdot.gov/projects/i-77-express-lanes/Pages/default.aspx"
"Newell Toll Bridge","Ohio / West Virginia","Private-title facility","State and federal bridge regulators","United Bridge Partners’ project company owns or controls the bridge and toll revenue.","Private title; no scheduled public reversion identified","Strong","https://unitedbridgepartners.com/portfolio/newell-toll-bridge/"
"Parkersburg Memorial Bridge","Ohio / West Virginia","Private-title or privately controlled facility","Local and state public parties retain defined regulatory rights","United Bridge Partners acquired the operating bridge company and toll economics.","Private/current project ownership","Strong","https://unitedbridgepartners.com/portfolio/parkersburg-memorial-bridge/"
"Dingmans Ferry Bridge","Pennsylvania / New Jersey","Private-title facility","Federal and state regulators","Dingmans Choice and Delaware Bridge Company owns and operates the crossing; the complete shareholder chain is not publicly disclosed.","Private title; no scheduled public reversion","Probable","https://dingmansbridge.com/"
"Southern Connector","South Carolina","Nonprofit/distressed concession","South Carolina Department of Transportation","Connector 2000 Association, a nonprofit project entity, operates the road and applies toll revenue under bond and concession documents; there is no conventional shareholder distribution layer.","Concession and handback governed by project documents","Strong","https://www.southernconnector.com/"
"SH 130 Segments 5 and 6","Texas","Public-title traffic-risk concession","Texas Department of Transportation","SH 130 Concession Company operates and receives toll revenue. The project company emerged from bankruptcy; the complete current upstream ownership chain remains unresolved.","50-year concession; scheduled through 2062","Unresolved","https://www.txdot.gov/business/road-bridge-maintenance/alternative-delivery/sh130/executed-agreements.html"
"North Tarrant Express Segments 1 and 2","Texas","Public-title traffic-risk concession","Texas Department of Transportation","NTE Mobility Partners operates the managed lanes and receives toll revenue; Ferrovial/Cintra leads the disclosed consortium with institutional co-investors.","Comprehensive development agreement through 2061","Confirmed","https://www.fhwa.dot.gov/ipd/project_profiles/tx_north_tarrant.aspx"
"North Tarrant Express 35W","Texas","Public-title traffic-risk concession","Texas Department of Transportation","A related NTE project company operates and receives toll revenue under a separate agreement; Ferrovial/Cintra leads the private consortium.","Comprehensive development agreement through 2061","Confirmed","https://www.fhwa.dot.gov/ipd/project_profiles/tx_north_tarrant_3a3b.aspx"
"LBJ Express","Texas","Public-title traffic-risk concession","Texas Department of Transportation","LBJ Infrastructure Group operates the managed lanes and receives toll revenue; Ferrovial/Cintra and institutional partners own the concession company.","Comprehensive development agreement through 2061","Confirmed","https://www.fhwa.dot.gov/ipd/project_profiles/tx_lbj_express.aspx"
"Progreso International Bridge","Texas / Mexico","Private-title or franchise facility","United States and Mexican border regulators","A private bridge company owns or controls the United States facility and toll revenue; the full current shareholder chain remains unresolved.","Private title or franchise structure","Unresolved","https://progresointernationalbridge.com/"
"Brownsville & Matamoros Bridge","Texas / Mexico","Private or joint corporate bridge structure","United States and Mexican border regulators","Brownsville & Matamoros Bridge Company operates the crossing; the complete current shareholder chain is not sufficiently clear in public records.","Corporate bridge ownership; franchise terms require further primary documentation","Unresolved","https://www.bmbridge.com/"
"Dulles Greenway","Virginia","Private-title facility","Virginia State Corporation Commission regulates tolls; state agencies regulate connections","Toll Road Investors Partnership II owns and operates the road; Atlas Arteria controls the disclosed equity chain.","Private title under Virginia law; no conventional concession reversion","Confirmed","https://www.atlasarteria.com/portfolio/dulles-greenway/"
"Pocahontas Parkway","Virginia","Public-title traffic-risk concession","Virginia Department of Transportation","A private project company operates and receives toll revenue; Globalvia is the current disclosed ultimate infrastructure owner after restructuring.","99-year agreement, 2006–2105","Strong","https://www.vdot.virginia.gov/projects/richmond-district/pocahontas-parkway/"
"Elizabeth River Crossings","Virginia","Public-title traffic-risk concession","Virginia Department of Transportation","Elizabeth River Crossings operates the tunnel system and receives toll revenue; Abertis controls the current concessionaire.","58-year agreement beginning in 2012; scheduled into 2070","Strong","https://www.vdot.virginia.gov/projects/hampton-roads-district/elizabeth-river-tunnels/"
"495 Express Lanes","Virginia","Public-title traffic-risk concession","Virginia Department of Transportation","Transurban’s project company operates the lanes and receives toll revenue under the comprehensive agreement.","Long concession scheduled into the 2080s","Strong","https://www.vdot.virginia.gov/projects/northern-virginia-district/495-express-lanes/"
"95 / 395 Express Lanes","Virginia","Public-title traffic-risk concession","Virginia Department of Transportation","Transurban-controlled project companies operate the lanes and receive toll revenue; later extensions retain contract-specific terms.","Long concession scheduled into the 2080s","Strong","https://www.vdot.virginia.gov/projects/northern-virginia-district/95-express-lanes/"
"I-66 Express Lanes Outside the Beltway","Virginia","Public-title traffic-risk concession","Virginia Department of Transportation","I-66 Express Mobility Partners operates the lanes and receives toll revenue; Ferrovial/Cintra leads the consortium with institutional partners.","50-year concession","Confirmed","https://www.vdot.virginia.gov/projects/northern-virginia-district/transform-66-outside-the-beltway/"
"South Norfolk Jordan Bridge","Virginia","Private-title or privately controlled facility","State and local transportation regulators","United Bridge Partners’ project company operates the bridge and claims toll revenue.","Project/private title; no standard public-concession expiry identified","Strong","https://unitedbridgepartners.com/portfolio/south-norfolk-jordan-bridge/"
"Goethals Bridge","New York / New Jersey","Public-title availability-payment/O&M P3","Port Authority of New York and New Jersey","NYNJ Link designed, financed, built, and maintains the replacement bridge under performance payments; the Port Authority owns the crossing and keeps toll revenue.","40-year P3 framework","Confirmed","https://www.fhwa.dot.gov/ipd/project_profiles/ny_goethals_bridge.aspx"
